iter	MultiClass
0	1.322288754
1	1.266089887
2	1.217723955
3	1.175121478
4	1.136367661
5	1.100882095
6	1.069603665
7	1.04162637
8	1.01682838
9	0.9918682645
10	0.9706987765
11	0.9507774698
12	0.9316801244
13	0.9157247122
14	0.8986439221
15	0.8823818268
16	0.8695870233
17	0.8563238562
18	0.8435745643
19	0.8333371591
20	0.8231791408
21	0.8123554582
22	0.8040111347
23	0.7945458036
24	0.7863448332
25	0.7778730621
26	0.7705460502
27	0.7628741324
28	0.7558614401
29	0.7503064189
30	0.7440832883
31	0.7378580877
32	0.7321438175
33	0.7270434926
34	0.7222517026
35	0.718136393
36	0.7136228334
37	0.7096446584
38	0.7055102498
39	0.7016553858
40	0.6987261262
41	0.695029736
42	0.6917584192
43	0.6886609232
44	0.6856194092
45	0.6828501945
46	0.6802138205
47	0.6779775443
48	0.6756304308
49	0.6734788061
50	0.6707787312
51	0.6693171152
52	0.6674205559
53	0.6659248961
54	0.6636408784
55	0.6624316482
56	0.66045684
57	0.659095088
58	0.6574288336
59	0.6557420644
60	0.6546445353
61	0.65315285
62	0.6518777546
63	0.650654811
64	0.6494615631
65	0.6481465452
66	0.6468145818
67	0.646112265
68	0.645039888
69	0.6441430634
70	0.6431667348
71	0.6427083703
72	0.6417620076
73	0.6408127584
74	0.6400434342
75	0.6391772289
76	0.6381209153
77	0.6373529601
78	0.6364838102
79	0.6356564639
80	0.6348368823
81	0.6338432541
82	0.6329835167
83	0.6320927977
84	0.6312234127
85	0.6305986403
86	0.6302490171
87	0.629745212
88	0.629217569
89	0.6286611066
90	0.6280837393
91	0.6276473372
92	0.6271100688
93	0.6264953643
94	0.6259862767
95	0.6254639992
96	0.6250021288
97	0.6245517386
98	0.6240562965
99	0.6236528936
100	0.6232172305
101	0.6229629336
102	0.6224765695
103	0.6220205219
104	0.6216518554
105	0.6212330687
106	0.6207430123
107	0.6203837029
108	0.6198898523
109	0.6197431807
110	0.6194020445
111	0.6189906784
112	0.6185545913
113	0.6182342403
114	0.6179710391
115	0.6176461261
116	0.6172977124
117	0.616875216
118	0.6166208917
119	0.61622464
120	0.6158280171
121	0.6155630379
122	0.6152667018
123	0.6148374263
124	0.6145582195
125	0.6141744815
126	0.6139814201
127	0.613731323
128	0.6134706169
129	0.6130900549
130	0.612848288
131	0.6125185816
132	0.6123120129
133	0.6121358892
134	0.611748269
135	0.6114526353
136	0.611228301
137	0.6111763391
138	0.6109915958
139	0.6107480056
140	0.6104470977
141	0.6102646447
142	0.6097935822
143	0.6095962932
144	0.6093599239
145	0.6091578136
146	0.6089450383
147	0.6087508966
148	0.6085012938
149	0.6082347125
150	0.6080322955
151	0.6077048453
152	0.6075210959
153	0.6073056541
154	0.6070731054
155	0.6068746639
156	0.6066891304
157	0.6064746135
158	0.6061733438
159	0.6060848255
160	0.6059176278
161	0.6057255699
162	0.6055688811
163	0.6052688183
164	0.6049710522
165	0.6047208615
166	0.6046621101
167	0.6045037561
168	0.6043160871
169	0.6041869814
170	0.6041592636
171	0.6039799618
172	0.6037425933
173	0.6036343684
174	0.6035173102
175	0.6034361735
176	0.6033124546
177	0.6031237615
178	0.6029228146
179	0.6026338148
180	0.6024509237
181	0.6022747975
182	0.6019641837
183	0.6019181834
184	0.6017386084
185	0.6015364152
186	0.6013864704
187	0.6012007645
188	0.6009572334
189	0.6009512163
190	0.6008417497
191	0.6006372445
192	0.6004088529
193	0.6001086121
194	0.5998951752
195	0.5996922459
196	0.5995090426
197	0.5992014668
198	0.5990288905
199	0.5988592939
200	0.5986509439
201	0.5985204183
202	0.5984460234
203	0.5984200344
204	0.5982568915
205	0.5981477071
206	0.5980241757
207	0.5978720411
208	0.5977177986
209	0.5975305718
210	0.5973638211
211	0.5972361595
212	0.5971341139
213	0.5969795067
214	0.5969610054
215	0.5967641355
216	0.5965462618
217	0.5963677583
218	0.5962851889
219	0.596110764
220	0.5959797842
221	0.5957928657
222	0.5956669177
223	0.5955798411
224	0.5955003454
225	0.5953419228
226	0.5951470397
227	0.594983989
228	0.5948803705
229	0.5947323409
230	0.5946032326
231	0.5944666248
232	0.5943487902
233	0.5942057982
234	0.5939846718
235	0.5937862011
236	0.5936150058
237	0.5935272197
238	0.5933604613
239	0.593237002
240	0.5931225986
241	0.5929447644
242	0.5928358558
243	0.5926849799
244	0.5925350891
245	0.5923580454
246	0.5922293195
247	0.5920317582
248	0.5919454372
249	0.5917990324
250	0.5915967862
251	0.5913669338
252	0.5912671386
253	0.5911264251
254	0.5910475282
255	0.5909504166
256	0.590845085
257	0.5906705112
258	0.5905452984
259	0.5904388198
260	0.5902916482
261	0.5901815038
262	0.5900121984
263	0.5897030787
264	0.5895798558
265	0.5894928384
266	0.5892721619
267	0.5891949772
268	0.5891240931
269	0.589034333
270	0.5889025301
271	0.5887753415
272	0.5886533363
273	0.5884645409
274	0.5882896247
275	0.588167365
276	0.5879908447
277	0.5878650875
278	0.587738676
279	0.5876476461
280	0.5875628206
281	0.5874859846
282	0.5873760916
283	0.5872903008
284	0.5871200018
285	0.5869542634
286	0.5868619678
287	0.5866670117
288	0.5865658111
289	0.5864243084
290	0.5862865533
291	0.5861321541
292	0.5859986161
293	0.5858384972
294	0.5857116793
295	0.585567735
296	0.5854668891
297	0.5853872097
298	0.5852555661
299	0.5851802808
300	0.5850754059
301	0.5849372824
302	0.5848432025
303	0.5846842331
304	0.5844360752
305	0.5843794672
306	0.5842917346
307	0.5841453319
308	0.5840206291
309	0.583903984
310	0.5837892785
311	0.5836668442
312	0.5835452917
313	0.5834587314
314	0.583274294
315	0.5831953252
316	0.5830252735
317	0.5829357589
318	0.5828355488
319	0.5827356811
320	0.5826526259
321	0.5825479271
322	0.582433648
