iter	Passed	Remaining
0	14	4565
1	31	4976
2	40	4276
3	48	3874
4	60	3863
5	75	3989
6	85	3876
7	93	3673
8	98	3446
9	117	3682
10	126	3585
11	145	3758
12	172	4123
13	178	3946
14	204	4196
15	228	4381
16	235	4230
17	265	4490
18	293	4696
19	303	4590
20	316	4552
21	329	4509
22	339	4427
23	365	4554
24	375	4470
25	398	4550
26	420	4608
27	434	4574
28	461	4678
29	474	4631
30	507	4779
31	537	4891
32	565	4969
33	594	5049
34	618	5085
35	639	5100
36	661	5115
37	685	5138
38	709	5169
39	735	5205
40	759	5226
41	781	5230
42	803	5232
43	826	5240
44	848	5240
45	861	5189
46	883	5188
47	907	5198
48	934	5223
49	957	5227
50	978	5221
51	989	5156
52	1010	5150
53	1024	5104
54	1046	5097
55	1056	5035
56	1079	5035
57	1100	5029
58	1124	5031
59	1148	5034
60	1158	4977
61	1181	4975
62	1205	4973
63	1226	4964
64	1248	4956
65	1270	4946
66	1293	4943
67	1305	4895
68	1329	4893
69	1356	4903
70	1380	4901
71	1394	4862
72	1416	4851
73	1438	4840
74	1452	4802
75	1474	4791
76	1496	4780
77	1516	4762
78	1538	4751
79	1562	4747
80	1586	4740
81	1609	4729
82	1630	4715
83	1651	4698
84	1672	4682
85	1693	4666
86	1714	4651
87	1734	4632
88	1757	4620
89	1784	4620
90	1806	4606
91	1828	4591
92	1849	4574
93	1870	4556
94	1891	4538
95	1912	4522
96	1922	4480
97	1945	4466
98	1969	4457
99	1995	4450
100	2019	4438
101	2030	4399
102	2051	4381
103	2072	4364
104	2093	4347
105	2116	4331
106	2137	4314
107	2158	4296
108	2181	4282
109	2191	4244
110	2216	4233
111	2231	4204
112	2245	4173
113	2266	4155
114	2287	4136
115	2307	4118
116	2329	4100
117	2349	4081
118	2371	4065
119	2392	4047
120	2417	4035
121	2440	4020
122	2462	4004
123	2483	3985
124	2503	3965
125	2524	3946
126	2544	3926
127	2564	3907
128	2585	3888
129	2608	3872
130	2633	3859
131	2659	3847
132	2680	3829
133	2702	3811
134	2724	3794
135	2745	3775
136	2765	3754
137	2770	3713
138	2790	3693
139	2811	3674
140	2835	3659
141	2853	3637
142	2875	3618
143	2895	3599
144	2916	3580
145	2936	3560
146	2957	3540
147	2977	3520
148	2998	3501
149	3020	3484
150	3046	3469
151	3070	3453
152	3091	3434
153	3112	3416
154	3134	3397
155	3156	3378
156	3177	3360
157	3199	3341
158	3223	3324
159	3234	3294
160	3251	3271
161	3274	3254
162	3296	3236
163	3316	3215
164	3339	3197
165	3359	3176
166	3364	3142
167	3377	3115
168	3397	3095
169	3419	3077
170	3428	3047
171	3455	3033
172	3479	3017
173	3504	3001
174	3526	2982
175	3533	2951
176	3554	2931
177	3575	2912
178	3596	2893
179	3617	2873
180	3639	2854
181	3664	2839
182	3685	2819
183	3696	2792
184	3718	2774
185	3738	2753
186	3758	2733
187	3778	2712
188	3797	2692
189	3802	2661
190	3822	2641
191	3842	2621
192	3865	2603
193	3890	2586
194	3911	2567
195	3931	2547
196	3951	2527
197	3971	2507
198	3990	2486
199	4010	2466
200	4029	2446
201	4050	2426
202	4062	2401
203	4071	2374
204	4094	2356
205	4114	2337
206	4135	2317
207	4154	2296
208	4173	2276
209	4193	2256
210	4213	2236
211	4233	2216
212	4254	2197
213	4278	2179
214	4285	2152
215	4308	2134
216	4328	2114
217	4348	2094
218	4353	2067
219	4373	2047
220	4393	2027
221	4412	2007
222	4432	1987
223	4444	1964
224	4465	1945
225	4489	1926
226	4512	1908
227	4534	1889
228	4546	1866
229	4566	1846
230	4585	1826
231	4605	1806
232	4624	1786
233	4644	1766
234	4663	1746
235	4684	1726
236	4709	1709
237	4729	1689
238	4750	1669
239	4771	1650
240	4792	1630
241	4812	1610
242	4833	1591
243	4853	1571
244	4875	1552
245	4898	1533
246	4919	1513
247	4941	1494
248	4961	1474
249	4981	1454
250	4999	1434
251	5018	1413
252	5036	1393
253	5055	1373
254	5075	1353
255	5097	1333
256	5117	1314
257	5138	1294
258	5159	1275
259	5180	1255
260	5200	1235
261	5220	1215
262	5239	1195
263	5258	1175
264	5277	1155
265	5301	1135
266	5323	1116
267	5343	1096
268	5364	1076
269	5387	1057
270	5407	1037
271	5427	1017
272	5447	997
273	5467	977
274	5489	958
275	5511	938
276	5531	918
277	5550	898
278	5571	878
279	5594	859
280	5615	839
281	5636	819
282	5657	799
283	5677	779
284	5699	759
285	5723	740
286	5746	720
287	5769	701
288	5793	681
289	5816	661
290	5837	641
291	5857	621
292	5877	601
293	5895	581
294	5915	561
295	5937	541
296	5958	521
297	5977	501
298	5999	481
299	6020	461
300	6039	441
301	6057	421
302	6076	401
303	6098	381
304	6124	361
305	6156	342
306	6179	322
307	6205	302
308	6228	282
309	6249	262
310	6270	241
311	6289	221
312	6312	201
313	6336	181
314	6357	161
315	6415	142
316	6507	123
317	6533	102
318	6554	82
319	6575	61
320	6595	41
321	6616	20
322	6638	0
