,type,elevation_ft,continent,Longitude
0,heliport,11.0,NA,-74.93360137939453
1,small_airport,3435.0,NA,-101.473911
2,small_airport,450.0,NA,-151.695999146
3,small_airport,820.0,NA,-86.77030181884766
4,small_airport,1100.0,NA,-97.8180194
5,small_airport,3810.0,NA,-112.16500091552734
6,small_airport,3038.0,NA,-116.888000488
7,small_airport,87.0,NA,-121.763427
8,heliport,3350.0,NA,-116.4597417
9,small_airport,53.0,NA,-82.21900177001953
10,heliport,25.0,NA,-82.34539794921875
11,small_airport,35.0,NA,-80.96920013427734
12,small_airport,700.0,NA,-84.06829833984375
13,heliport,957.0,NA,-84.73390197753906
14,heliport,43.0,NA,-155.980233
15,small_airport,2064.0,NA,-116.21399688720705
16,small_airport,3359.0,NA,-101.395994
17,heliport,600.0,NA,-87.122802734375
18,small_airport,840.0,NA,-89.5604019165039
19,heliport,634.0,NA,-87.2605972290039
20,small_airport,820.0,NA,-89.1229019165039
21,small_airport,1100.0,NA,-94.93049621582033
22,small_airport,1265.0,NA,-84.61969757080078
23,heliport,15.0,NA,-90.980833
24,heliport,600.0,NA,-89.70559692382812
25,small_airport,12.0,NA,-92.4293975830078
26,small_airport,45.0,NA,-75.75379943847656
27,heliport,588.0,NA,-86.41670227050781
28,small_airport,1365.0,NA,-95.70030212402344
29,small_airport,970.0,NA,-94.412399291992
30,small_airport,105.0,NA,-75.1852035522461
31,small_airport,348.0,NA,-78.37139892578125
32,heliport,78.0,NA,-74.47460174560547
33,seaplane_base,96.0,NA,-73.3698057
34,small_airport,1000.0,NA,-77.49970245361328
35,heliport,905.0,NA,-84.1874008178711
36,small_airport,960.0,NA,-96.217693
37,heliport,195.0,NA,-123.12999725341795
38,heliport,402.0,NA,-75.74690246582031
39,small_airport,1301.0,NA,-80.211111
40,small_airport,1620.0,NA,-122.088996887
41,small_airport,150.0,NA,-80.26719665527344
42,small_airport,1590.0,NA,-96.498897
43,heliport,600.0,NA,-97.1894989013672
44,small_airport,1100.0,NA,-85.95359802246094
45,small_airport,670.0,NA,-97.24199676513672
46,small_airport,551.0,NA,-78.9991684
47,small_airport,2680.0,NA,-80.49949645996094
48,small_airport,719.0,NA,-117.44300079346
49,small_airport,150.0,NA,-122.77200317382812
50,small_airport,860.0,NA,-89.05010223388672
51,small_airport,2900.0,NA,-117.2490005493164
52,small_airport,2060.0,NA,-79.86609649658203
53,heliport,5210.0,NA,-106.224443
54,small_airport,3110.0,NA,-101.93399810791016
55,small_airport,1950.0,NA,-152.27000427246094
56,heliport,120.0,NA,-149.446249008
57,small_airport,344.0,NA,-86.51390075683594
58,heliport,400.0,NA,-94.35489654541016
59,heliport,3300.0,NA,-111.86499786376952
60,heliport,3733.0,NA,-117.370058745
61,small_airport,2594.0,NA,-120.73400115966795
62,heliport,300.0,NA,-118.15399932861328
63,heliport,10175.0,NA,-106.24600219726562
64,heliport,60.0,NA,-72.72750091552734
65,small_airport,55.0,NA,-81.14420318603516
66,heliport,86.0,NA,-81.3697
67,small_airport,19.0,NA,-81.1592025756836
68,heliport,319.0,NA,-84.9791030883789
69,small_airport,375.0,NA,-82.77110290527344
70,small_airport,725.0,NA,-90.74130249023438
71,small_airport,5268.0,NA,-112.031998
72,small_airport,950.0,NA,-86.50669860839844
73,heliport,583.0,NA,-87.65950012207031
74,heliport,890.0,NA,-85.69580078125
75,small_airport,670.0,NA,-90.31819915771484
76,small_airport,59.0,NA,-81.90570068359375
77,small_airport,1157.0,NA,-97.5864028930664
78,small_airport,1485.0,NA,-97.00330352783205
79,heliport,419.0,NA,-88.64689636230469
80,small_airport,90.0,NA,-91.77369689941406
81,small_airport,555.0,NA,-89.46389770507812
82,small_airport,125.0,NA,-91.07740020751952
83,heliport,140.0,NA,-71.18009948730469
84,seaplane_base,712.1670117322291,NA,-76.456001
85,seaplane_base,608.0,NA,-68.50029754638672
86,heliport,736.0,NA,-83.67970275878906
87,seaplane_base,1358.0,NA,-92.55740356445312
88,heliport,615.0,NA,-90.48429870605467
89,small_airport,3141.0,NA,-114.87999725341795
90,small_airport,65.0,NA,-77.5813980102539
91,small_airport,3000.0,NA,-100.65299987792967
92,small_airport,835.0,NA,-72.086998
93,heliport,10.0,NA,-74.13710021972656
94,small_airport,3630.0,NA,-104.540278
95,small_airport,4600.0,NA,-119.0270004272461
96,heliport,1140.0,NA,-82.80159759521484
97,small_airport,960.0,NA,-77.73889923095703
98,small_airport,1040.0,NA,-76.02960205078125
99,small_airport,779.0,NA,-81.25279998779297
100,heliport,630.0,NA,-97.11579895019533
101,small_airport,505.0,NA,-96.4280014038086
102,small_airport,370.0,NA,-89.73059844970703
103,small_airport,610.0,NA,-96.87750244140624
104,small_airport,5124.0,NA,-115.63400268554688
105,small_airport,6000.0,NA,-109.39600372314452
106,small_airport,500.0,NA,-77.9250030518
107,heliport,154.0,NA,-123.81199645996094
108,small_airport,930.0,NA,-90.38919830322266
109,heliport,103.0,NA,-122.68499755859376
110,heliport,20.0,NA,-122.210908
111,small_airport,4250.0,NA,-104.81099700927734
112,heliport,715.0,NA,-97.853333
113,heliport,500.0,NA,-95.74549865722656
114,small_airport,190.0,NA,-150.09800720214844
115,small_airport,61.0,NA,-87.76439666748047
116,heliport,122.0,NA,-118.12899780273438
117,small_airport,165.0,NA,-90.52400207519533
118,small_airport,5160.0,NA,-119.058998
119,small_airport,7615.0,NA,-106.04699707
120,heliport,540.0,NA,-72.44450378417969
121,small_airport,121.0,NA,-81.87480163574219
122,small_airport,884.0,NA,-83.42900085449219
123,small_airport,710.0,NA,-84.92440032958984
124,heliport,9.0,NA,-157.9510040283203
125,heliport,1160.0,NA,-93.87799835205078
126,small_airport,5634.0,NA,-115.30500030517578
127,small_airport,925.0,NA,-86.21050262451172
128,small_airport,904.0,NA,-85.54080200195312
129,heliport,762.0,NA,-87.9572982788086
130,small_airport,1170.0,NA,-96.0552978515625
131,heliport,781.0,NA,-83.443319
132,heliport,760.0,NA,-84.89990234375
133,heliport,168.0,NA,-93.6602020263672
134,heliport,25.0,NA,-91.91899871826172
135,heliport,9.0,NA,-70.927001953125
136,small_airport,141.0,NA,-76.709739
137,small_airport,700.0,NA,-70.929397
138,small_airport,850.0,NA,-85.14849853515625
139,small_airport,1070.0,NA,-96.19200134277344
140,small_airport,650.0,NA,-91.03350067138672
141,small_airport,153.0,NA,-90.8468017578125
142,heliport,809.0,NA,-80.597778
143,small_airport,1550.0,NA,-96.90450286865234
144,seaplane_base,1180.0,NA,-71.21910095214844
145,heliport,78.0,NA,-74.46710205078125
146,small_airport,4443.0,NA,-118.5979995727539
147,heliport,435.0,NA,-75.65550231933594
148,small_airport,614.0,NA,-83.08329772949219
149,small_airport,950.0,NA,-80.56539916992188
150,small_airport,705.0,NA,-121.31600189208984
151,heliport,591.0,NA,-77.556602
152,heliport,1070.0,NA,-79.7699966430664
153,heliport,390.0,NA,-75.4552001953125
154,small_airport,15.0,A,-66.36689758300781
155,small_airport,1700.0,NA,-77.23030090332031
156,small_airport,1349.81139720298,NA,-81.22480010986328
157,small_airport,5830.0,NA,-112.98200225830078
158,heliport,5.0,NA,-95.8738021850586
159,heliport,560.0,NA,-96.86419677734376
160,small_airport,840.0,NA,-86.58419799804688
161,small_airport,3235.0,NA,-101.92288208
162,small_airport,4412.0,NA,-113.84300231933594
163,small_airport,320.0,NA,-77.8572006225586
164,heliport,1850.0,NA,-82.11669921875
165,small_airport,690.0,NA,-122.09400177001952
166,small_airport,920.0,NA,-92.65579986572266
167,small_airport,2150.0,NA,-119.31900024414062
168,small_airport,675.0,NA,-95.882864
169,heliport,159.0,NA,-149.284527
170,seaplane_base,150.0,NA,-151.13278198242188
171,heliport,628.0,NA,-86.046774
172,heliport,350.0,NA,-92.78849792480467
173,small_airport,4275.0,NA,-110.08399963378906
174,heliport,634.0,NA,-117.006952
175,small_airport,4950.0,NA,-104.744003296
176,small_airport,70.0,NA,-81.40809631347656
177,heliport,20.0,NA,-80.18730163574219
178,small_airport,238.0,NA,-81.8576944
179,small_airport,954.0,NA,-92.4613037109375
180,small_airport,3180.0,NA,-116.53299713134766
181,small_airport,465.0,NA,-87.7789001465
182,small_airport,750.0,NA,-87.81670379638672
183,small_airport,850.0,NA,-86.01249694824219
184,heliport,580.0,NA,-90.173401
185,heliport,1160.0,NA,-95.26409912109376
186,small_airport,385.0,NA,-87.54139709472656
187,heliport,25.0,NA,-91.12789916992188
188,heliport,79.0,NA,-91.70800018310548
189,seaplane_base,165.0,NA,-69.8895034790039
190,small_airport,150.0,NA,-72.552001953125
191,heliport,302.0,NA,-76.32669830322266
192,small_airport,556.0,NA,-70.6272964477539
193,heliport,585.0,NA,-83.86219787597656
194,small_airport,1435.0,NA,-95.22470092773438
195,heliport,110.0,NA,-90.8832015991211
196,small_airport,3580.0,NA,-111.71748
197,small_airport,874.0,NA,-94.41249847410002
198,small_airport,4.0,OC,169.852005
199,small_airport,35.0,NA,-77.9041976928711
200,small_airport,1045.0,NA,-97.8290023803711
201,small_airport,2430.0,NA,-99.3311996459961
202,heliport,400.0,NA,-71.12439727783203
203,small_airport,6120.0,NA,-115.2979965209961
204,small_airport,95.0,NA,-72.716796875
205,small_airport,580.0,NA,-83.01740264892578
206,heliport,890.0,NA,-81.599552
207,small_airport,890.0,NA,-96.1613998413086
208,small_airport,3340.0,NA,-117.48400115966795
209,heliport,197.0,NA,-75.4656982421875
210,heliport,479.0,NA,-76.180806
211,small_airport,980.0,NA,-94.921703
212,small_airport,704.0,NA,-122.22899627685548
213,heliport,73.0,NA,-78.66190338134766
214,small_airport,600.0,NA,-98.66950225830078
215,heliport,1000.0,NA,-83.57939910888672
216,heliport,1825.0,NA,-100.43800354003906
217,heliport,50.0,NA,-95.30719757080078
218,small_airport,5315.0,NA,-109.98600006103516
219,small_airport,2440.0,NA,-117.37200164794922
220,small_airport,880.0,NA,-88.883945
221,small_airport,2320.0,NA,-120.66999816894533
222,small_airport,2100.0,NA,-100.75399780273438
223,small_airport,250.0,NA,-150.811387
224,heliport,686.0,NA,-85.96720123
225,heliport,430.0,NA,-92.586047
226,small_airport,3020.0,NA,-117.675003
227,small_airport,2310.0,NA,-116.44100189208984
228,heliport,880.0,NA,-73.05239868164062
229,small_airport,9.0,NA,-80.51509857177734
230,heliport,37.0,NA,-82.336981
231,small_airport,30.0,NA,-81.22200012207031
232,small_airport,920.0,NA,-83.18879699707031
233,small_airport,801.0,NA,-92.05460357666016
234,small_airport,2343.0,NA,-116.53700256347656
235,small_airport,765.0,NA,-84.99410247802734
236,small_airport,755.0,NA,-89.0070037842
237,seaplane_base,954.0,NA,-85.113056
238,small_airport,728.0,NA,-88.56900024414062
239,heliport,835.0,NA,-95.2197036743164
240,small_airport,710.0,NA,-85.78939819335938
241,heliport,10.0,NA,-90.702222
242,small_airport,750.0,NA,-88.28759765625
243,heliport,52.0,NA,-91.10530090332033
244,heliport,40.0,NA,-75.82140350341797
245,small_airport,625.0,NA,-69.8938980102539
246,small_airport,880.0,NA,-84.62830352783203
247,small_airport,1195.0,NA,-94.68689727783205
248,small_airport,767.0,NA,-91.45149993896484
249,small_airport,100.0,NA,-90.8373031616
250,small_airport,2715.0,NA,-106.488095
251,heliport,445.0,NA,-78.7822036743
